name,pos,team,proj,adp
RB1,RB,ARI,320.0,4
RB2,RB,ATL,311.2,6
RB3,RB,BAL,302.6,9
WR1,WR,ARI,300.0,12
RB4,RB,BUF,294.2,12
QB1,QB,ARI,380.0,13
QB2,QB,ATL,372.5,14
QB3,QB,BAL,365.1,15
QB4,QB,BUF,357.9,16
WR2,WR,ATL,292.9,16
RB5,RB,CAR,286.1,16
QB5,QB,CAR,350.8,17
QB6,QB,CHI,343.8,18
QB7,QB,CIN,337.0,19
WR3,WR,BAL,285.9,19
QB8,QB,CLE,330.4,20
RB6,RB,CHI,278.2,20
QB9,QB,DAL,323.8,21
WR4,WR,BUF,279.2,21
QB10,QB,DEN,317.4,23
WR5,WR,CAR,272.5,24
RB7,RB,CIN,270.5,24
QB11,QB,DET,311.1,25
QB12,QB,GB,305.0,26
WR6,WR,CHI,266.1,27
RB8,RB,CLE,263.0,27
QB13,QB,HOU,298.9,29
RB9,RB,DAL,255.8,30
QB14,QB,IND,293.0,31
WR7,WR,CIN,259.8,31
RB10,RB,DEN,248.7,32
QB15,QB,JAX,287.2,33
WR8,WR,CLE,253.6,33
RB11,RB,DET,241.9,34
WR9,WR,DAL,247.6,35
QB16,QB,KC,281.5,36
WR10,WR,DEN,241.7,37
RB12,RB,GB,235.2,38
QB17,QB,LV,275.9,39
WR11,WR,DET,236.0,39
QB18,QB,LAC,270.5,41
WR12,WR,GB,230.4,41
RB13,RB,HOU,228.7,41
RB14,RB,IND,222.4,43
QB19,QB,LAR,265.1,44
WR13,WR,HOU,224.9,44
QB20,QB,MIA,259.9,46
TE1,TE,ARI,240.0,46
WR14,WR,IND,219.6,46
RB15,RB,JAX,216.2,46
RB16,RB,KC,210.3,48
WR15,WR,JAX,214.4,49
TE2,TE,ATL,229.4,50
RB17,RB,LV,204.4,51
WR16,WR,KC,209.3,52
WR17,WR,LV,204.3,54
TE3,TE,BAL,219.3,55
RB18,RB,LAC,198.8,55
WR18,WR,LAC,199.5,56
RB19,RB,LAR,193.3,57
WR19,WR,LAR,194.8,58
TE4,TE,BUF,209.7,59
RB20,RB,MIA,188.0,60
WR20,WR,MIA,190.1,61
TE5,TE,CAR,200.5,63
WR21,WR,ARI,185.6,63
RB21,RB,ARI,182.8,63
RB22,RB,ATL,177.7,65
WR22,WR,ATL,181.2,66
TE6,TE,CHI,191.6,68
WR23,WR,BAL,176.9,68
RB23,RB,BAL,172.8,68
WR24,WR,BUF,172.7,71
RB24,RB,BUF,168.1,71
TE7,TE,CIN,183.2,72
WR25,WR,CAR,168.6,72
RB25,RB,CAR,163.4,74
WR26,WR,CHI,164.6,75
TE8,TE,CLE,175.1,77
WR27,WR,CIN,160.7,77
RB26,RB,CHI,158.9,78
WR28,WR,CLE,156.9,81
RB27,RB,CIN,154.5,81
TE9,TE,DAL,167.4,82
WR29,WR,DAL,153.2,85
TE10,TE,DEN,160.1,86
RB28,RB,CLE,150.3,86
WR30,WR,DEN,149.6,90
RB29,RB,DAL,146.1,93
TE11,TE,DET,153.0,94
WR31,WR,DET,146.0,96
RB30,RB,DEN,142.1,100
WR32,WR,GB,142.6,101
TE12,TE,GB,146.3,102
WR33,WR,HOU,139.2,107
RB31,RB,DET,138.1,108
TE13,TE,HOU,139.9,113
WR34,WR,IND,135.9,113
RB32,RB,GB,134.3,114
WR35,WR,JAX,132.7,120
RB33,RB,HOU,130.6,121
WR36,WR,KC,129.5,124
TE14,TE,IND,133.7,125
RB34,RB,IND,127.0,125
WR37,WR,LV,126.4,128
RB35,RB,JAX,123.5,128
WR38,WR,LAC,123.4,131
RB36,RB,KC,120.1,133
TE15,TE,JAX,127.8,134
WR39,WR,LAR,120.5,134
RB37,RB,LV,116.8,135
WR40,WR,MIA,117.7,136
RB38,RB,LAC,113.6,138
WR41,WR,ARI,114.9,139
TE16,TE,KC,122.2,141
WR42,WR,ATL,112.1,141
RB39,RB,LAR,110.4,141
RB40,RB,MIA,107.4,143
WR43,WR,BAL,109.5,144
TE17,TE,LV,116.8,146
WR44,WR,BUF,106.9,146
RB41,RB,ARI,104.4,146
WR45,WR,CAR,104.4,149
TE18,TE,LAC,111.7,150
RB42,RB,ATL,101.5,150
WR46,WR,CHI,101.9,151
RB43,RB,BAL,98.7,152
WR47,WR,CIN,99.5,153
RB44,RB,BUF,96.0,154
TE19,TE,LAR,106.8,155
WR48,WR,CLE,97.1,155
RB45,RB,CAR,93.3,156
WR49,WR,DAL,94.8,157
TE20,TE,MIA,102.1,158
WR50,WR,DEN,92.6,159
WR51,WR,DET,90.4,160
WR52,WR,GB,88.2,161
WR53,WR,HOU,86.1,162
WR54,WR,IND,84.1,163
WR55,WR,JAX,82.1,164
DST1,DST,ARI,160.0,193
DST2,DST,ATL,156.8,196
DST3,DST,BAL,153.7,198
DST4,DST,BUF,150.7,201
DST5,DST,CAR,147.7,206
DST6,DST,CHI,144.8,212
K1,K,ARI,150.0,213
K2,K,ATL,148.5,215
K3,K,BAL,147.0,217
DST7,DST,CIN,141.9,217
K4,K,BUF,145.6,221
DST8,DST,CLE,139.1,222
